truth,bin_low,bin_high,count
non_match,0.8400,0.8500,0
non_match,0.8500,0.8600,0
non_match,0.8600,0.8700,0
non_match,0.8700,0.8800,0
non_match,0.8800,0.8900,0
non_match,0.8900,0.9000,0
non_match,0.9000,0.9100,0
non_match,0.9100,0.9200,0
non_match,0.9200,0.9300,0
non_match,0.9300,0.9400,0
non_match,0.9400,0.9500,0
non_match,0.9500,0.9600,0
non_match,0.9600,0.9700,0
non_match,0.9700,0.9800,0
non_match,0.9800,0.9900,0
non_match,0.9900,1.0000,0
